target_month,month_end_date,trading_days_in_month,realized_volatility,forecast_previous_month_rv,forecast_six_month_rv,forecast_gjr_garch,forecast_egarch,estimation_sample_size_days
2002-06,2002-06-28,20,0.8958292728923416,0.9213392216351685,0.9325298846383607,0.35344987959771473,0.9730029646723131,1828
2002-07,2002-07-31,21,1.181847850744727,0.8958292728923416,0.9452735430153351,0.3782732412392646,1.1736663359311024,1848
2002-08,2002-08-30,23,1.1363220156127232,1.181847850744727,0.9791427470207795,0.4358096309986734,1.606980436912462,1869
2002-09,2002-09-30,20,1.2241370561423224,1.1363220156127232,1.0183696348957525,0.3628813885446227,1.0066740665872984,1892
2002-10,2002-10-31,22,1.4359412606554212,1.2241370561423224,1.0452778078940528,0.45950800246421847,1.4981814215957343,1912
2002-11,2002-11-27,21,1.0942699097688529,1.4359412606554212,1.1341143884121239,0.38026787993273375,1.1709885669964901,1934
2002-12,2002-12-31,20,0.7999934861275557,1.0942699097688529,1.1582369664103653,0.5691856696477651,1.783952074236721,1955
2003-01,2003-01-31,17,0.8023292212969649,0.7999934861275557,1.1256479808197237,0.3712656022903339,1.0528571797815904,1975
2003-02,2003-02-28,18,1.174031898094509,0.8023292212969649,1.0868893257217147,0.44368308231459885,1.4633817181271787,1992
2003-03,2003-03-31,23,1.0529148950621483,1.174031898094509,1.0670282978225356,0.39244191078382684,1.2624498765017413,2010
2003-04,2003-04-30,18,0.9760086679076942,1.0529148950621483,1.0521202860446341,0.4374680390186603,1.2461644953113364,2033
2003-05,2003-05-30,20,0.7982140425239259,0.9760086679076942,0.9421242416709893,0.3889856379378179,1.1504129970243975,2051
2003-06,2003-06-30,20,0.7762327587142062,0.7982140425239259,0.8920239053431288,0.44542794160502963,1.3094976977786439,2071
2003-07,2003-07-31,23,0.6589213507791813,0.7762327587142062,0.8869401607461818,0.39003119807907205,1.0934409676913581,2091
2003-08,2003-08-29,21,0.6595496827703662,0.6589213507791813,0.8829395462042603,0.38347809042517916,1.0433018277577373,2114
2003-09,2003-09-30,20,0.5946349724054263,0.6595496827703662,0.8121570844033749,0.3871989844240854,1.0776424131460534,2135
2003-10,2003-10-31,25,0.6707822438830046,0.5946349724054263,0.7205758813474648,0.4037495137685688,1.2074834925775875,2155
2003-11,2003-11-26,19,1.1500589981561695,0.6707822438830046,0.6582540512239139,0.3751339465188931,1.036097836820247,2180
2003-12,2003-12-31,19,1.2232317587409771,1.1500589981561695,0.7368775807459395,0.3821384308003723,1.1457132193112747,2199
2004-01,2004-01-30,19,0.38854144605171154,1.2232317587409771,0.827016752016983,0.37358129109322374,1.0212230277761645,2218
2004-02,2004-02-27,19,0.32759013872563275,0.38854144605171154,0.7987501424027401,0.3743515711174372,1.0660277326814578,2237
2004-03,2004-03-31,21,0.4014010971491274,0.32759013872563275,0.7640839675679059,0.36564320880667767,0.9086536851737758,2256
2004-04,2004-04-30,21,0.2758819666175535,0.4014010971491274,0.7459036207606019,0.36952487926607813,1.060346386679629,2277
2004-05,2004-05-28,19,0.37731065250594104,0.2758819666175535,0.6945951391453793,0.3727967908750294,1.04799021575946,2298
2004-06,2004-06-30,19,0.3672853521036831,0.37731065250594104,0.5592466997627042,0.36323953471334847,1.018654558491471,2317
2004-07,2004-07-30,22,0.34801335735170774,0.3672853521036831,0.34109232973419257,0.36139013944489984,0.973918295064794,2336
2004-08,2004-08-31,22,0.4411447970305349,0.34801335735170774,0.3393783480009637,0.3558693761853619,0.9732004798661198,2358
2004-09,2004-09-30,22,0.36767251848073246,0.4411447970305349,0.36265464701609,0.36177459729342215,1.0128268050183076,2380
2004-10,2004-10-29,21,0.4370781591939206,0.36767251848073246,0.3584535475621142,0.35006874142731803,0.9403243017949123,2402
2004-11,2004-11-30,15,0.34106016744179896,0.4370781591939206,0.3833589791143838,0.352818749423868,1.0738383670475775,2423
2004-12,2004-12-31,22,0.4326266964987299,0.34106016744179896,0.3743604049358165,0.34731680753649896,0.9332062856898422,2438
2005-01,2005-01-31,20,0.44137878294425936,0.4326266964987299,0.38901468385236787,0.3404438831251163,0.8545333816570101,2460
2005-02,2005-02-28,17,0.41296889500663186,0.44137878294425936,0.4009765290416717,0.36388185509916304,1.0625579627187143,2480
